Manufacturer,Mark,price,Engine_capacity,Gearbox,Hurd,Type,Color,Year_of_manufacture,Year_of_entry,Engine,Interior_color,Leasing,Drive,Mileage,Conditions,Gate
Mitsubishi,RVR,25000000,1.8,Автомат,Буруу,Жийп,Боронзон,2010,2019,Бензин,Хар,Лизинггүй,Урдаа FWD,170000,Дугаар авсан,4
Toyota,Alphard,21000000,2.4,Автомат,Буруу,Гэр бүлийн,Саарал,2006,2021,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,222222,Дугаар авсан,5
Volkswagen,Tiguan,35000000,2.0,Автомат,Зөв,Жийп,Саарал,2011,2014,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,140000,Дугаар авсан,5
Toyota,Land Cruiser 100,30000000,4.2,Автомат,Зөв,Жийп,Саарал,2007,2007,Дизель,Шаргал,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар авсан,5
Mercedes-Benz,GLK-Class,47000000,3.0,Автомат,Зөв,Гэр бүлийн,Хар,2011,2019,Бензин,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,132000,Дугаар авсан,5
Toyota,Harrier,19000000,3.3,Автомат,Буруу,Гэр бүлийн,Сувдан цагаан,2005,2021,Бензин,Хар,Лизинггүй,Урдаа FWD,220000,Дугаар авсан,5
Lexus,RX,45000000,3.5,Автомат,Буруу,Жийп,Хар,2016,2022,Хайбрид,Хар,ББСБ лизингтэй,Бүх дугуй 4WD,107000,Дугаар авсан,5
Honda,Acty,5500000,1.7,Механик,Буруу,Суудлын тэрэг,Цагаан,1999,2015,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,0,Дугаар авсан,2
Toyota,Prius 30,13500000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2022,Бензин,Хар,Лизинггүй,Урдаа FWD,200,Дугаар авсан,5
Isuzu,Bighorn,5500000,3.0,Автомат,Зөв,Жийп,Саарал,1997,2006,Дизель,Саарал,Лизинггүй,Урдаа FWD,700,Дугаар авсан,5
Toyota,Hilux,39000000,4.0,Автомат,Буруу,Жийп,Хөх,2008,2023,Бензин,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,102000,Дугаар аваагүй,4
Nissan,X-Trail,7500000,2.0,Автомат,Буруу,Жийп,Бусад,2011,2021,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,173000,Дугаар авсан,5
Nissan,Patrol,175000000,4.2,Механик,Зөв,Жийп,Цагаан,2008,2009,Дизель,Хар,Лизинггүй,Бүх дугуй 4WD,199000,Дугаар авсан,5
Toyota,"Prius 40, 41",26000000,1.8,Автомат,Буруу,Гэр бүлийн,Цагаан,2011,2023,Хайбрид,Саарал,ББСБ лизингтэй,Урдаа FWD,170000,Дугаар аваагүй,5
Volkswagen,Tiguan,35000000,2.0,Автомат,Зөв,Суудлын тэрэг,Цагаан,2014,2022,Дизель,Хар,Лизинггүй,Бүх дугуй 4WD,130,Дугаар авсан,5
Toyota,Harrier,23000000,3.3,Автомат,Буруу,Жийп,Сувдан цагаан,2009,2022,Хайбрид,Бусад,Лизинггүй,Бүх дугуй 4WD,134000,Дугаар авсан,4
Toyota,Prius 50,35000000,1.8,Автомат,Буруу,Суудлын тэрэг,Бусад,2017,2023,Хайбрид,Хар,Лизинггүй,Урдаа FWD,129000,Дугаар аваагүй,5
Suzuki,Бусад,21000000,1.2,Автомат,Буруу,Суудлын тэрэг,Хар,2016,2023,Хайбрид,Хар,Банкны лизингтэй,Урдаа FWD,196000,Дугаар аваагүй,5
Mercedes-Benz,CLA-Class,56000000,2.0,Автомат,Зөв,Жийп,Улаан,2020,2022,Бензин,Цагаан шар,ББСБ лизингтэй,Урдаа FWD,15000,Дугаар авсан,5
Mercedes-Benz,G-Class,130000000,0.4,Автомат,Зөв,Жийп,Хар,2020,2021,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,15000,Дугаар авсан,5
Toyota,Corolla,6500000,2.5,Автомат,Буруу,Суудлын тэрэг,Хар,2019,2020,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,19442,Дугаар авсан,5
Toyota,Axio,17500000,1.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2014,2023,Хайбрид,Саарал,ББСБ лизингтэй,Урдаа FWD,210000,Дугаар аваагүй,4
Nissan,Juke,16500000,1.5,Автомат,Буруу,Суудлын тэрэг,Улаан,2012,2022,Хайбрид,Бусад,Лизинггүй,Урдаа FWD,10000,Дугаар авсан,5
Toyota,Vitz,3500000,1.3,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2011,2018,Бензин,Саарал,ББСБ лизингтэй,Бүх дугуй 4WD,143,Дугаар авсан,5
Toyota,Prius 20,10500000,0.5,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2019,Хайбрид,Хар,Лизинггүй,Урдаа FWD,124000,Дугаар авсан,5
Toyota,Prius 20,16000000,1.5,Автомат,Буруу,Суудлын тэрэг,Саарал,2004,2017,Бензин,Хар,Лизинггүй,Урдаа FWD,280000,Дугаар авсан,5
Toyota,Land Cruiser Prado,93000000,2.7,Автомат,Буруу,Жийп,Саарал,2005,2015,Бензин,Хар,Лизинггүй,Хойноо RWD,220000,Дугаар авсан,5
Lexus,LX,520000000,5.7,Автомат,Зөв,Жийп,Цагаан,2011,2015,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,148300,Дугаар авсан,5
Toyota,Alphard,82000000,2.5,Автомат,Буруу,Гэр бүлийн,Хөх,2013,2022,Бензин,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар авсан,5
Jeep,Бусад,65000000,2.4,Автомат,Буруу,Суудлын тэрэг,Хар,2013,2020,Бензин,Хар,Лизинггүй,Урдаа FWD,180000,Дугаар авсан,5
Suzuki,Jimny,68000000,0.6,Автомат,Буруу,Жийп,Ногоон,2017,2023,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,41000,Дугаар аваагүй,3
Toyota,Harrier,50000000,2.4,Автомат,Буруу,Гэр бүлийн,Хар,2005,2014,Бензин,Хар,Лизинггүй,Урдаа FWD,0,Дугаар авсан,5
Toyota,Alphard,37000000,2.5,Автомат,Буруу,Гэр бүлийн,Цагаан,2014,2023,Бензин,Цагаан шар,Банкны лизингтэй,Бүх дугуй 4WD,114,Дугаар аваагүй,5
Lexus,NX,65000000,2.0,Автомат,Буруу,Жийп,Саарал,2016,2021,Бензин,Хар,Хувь лизингтэй,Бүх дугуй 4WD,70000,Дугаар авсан,5
Toyota,Fielder,11500000,1.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2016,2022,Хайбрид,Хар,Лизинггүй,Урдаа FWD,123456,Дугаар авсан,5
Toyota,"Prius 40, 41",21900000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2021,Бензин,Хар,Банкны лизингтэй,Урдаа FWD,1,Дугаар авсан,5
Nissan,X-Trail,39000000,2.0,Автомат,Буруу,Суудлын тэрэг,Цагаан,2015,2023,Хайбрид,Саарал,Банкны лизингтэй,Бүх дугуй 4WD,209000,Дугаар аваагүй,4
Toyota,Vellfire,33000000,3.6,Автомат,Буруу,Гэр бүлийн,Хар,2016,2020,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,140000,Дугаар авсан,5
Toyota,Prius 30,16500000,1.8,Автомат,Буруу,Суудлын тэрэг,Цагаан,2010,2023,Бензин,Саарал,ББСБ лизингтэй,Урдаа FWD,8000,Дугаар авсан,4
Lexus,RX,87000000,4.5,Автомат,Зөв,Жийп,Хар,2015,2021,Хайбрид,Хар,Лизинггүй,Бүх дугуй 4WD,140000,Дугаар авсан,5
Ford,Escape,33000000,2.4,Автомат,Буруу,Жийп,Хар,2011,2020,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,150,Дугаар авсан,5
Lexus,RX,56000000,3.3,Автомат,Зөв,Жийп,Хар,2006,2023,Бензин,Шаргал,Лизинггүй,Урдаа FWD,70000,Дугаар авсан,4
Toyota,Prius 20,14800000,1.5,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2008,2014,Бензин,Хар,Лизинггүй,Урдаа FWD,175000,Дугаар авсан,4
Toyota,Prius 50,43000000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2017,2023,Хайбрид,Хар,Банкны лизингтэй,Урдаа FWD,200000,Дугаар аваагүй,5
Toyota,Highlander,37000000,3.3,Автомат,Зөв,Жийп,Саарал,2008,2013,Хайбрид,Шаргал,Лизинггүй,Бүх дугуй 4WD,116000,Дугаар авсан,5
Toyota,4Runner,175000000,4.0,Автомат,Зөв,Жийп,Сувдан цагаан,2013,2021,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,87000,Дугаар авсан,5
Toyota,RAV4,18500000,2.4,Автомат,Буруу,Суудлын тэрэг,Хар,2006,2013,Бензин,Хар,Лизинггүй,Урдаа FWD,170000,Дугаар авсан,5
Lexus,RX,60000000,3.5,Автомат,Зөв,Жийп,Саарал,2010,2020,Бензин,Саарал,Лизинггүй,Урдаа FWD,180000,Дугаар авсан,5
Toyota,Land Cruiser Prado,75000000,4.0,Автомат,Буруу,Жийп,Хар,2009,2021,Бензин,Саарал,Лизинггүй,Бүх дугуй 4WD,157000,Дугаар авсан,5
Toyota,"Prius 40, 41",29500000,6.0,Автомат,Буруу,Гэр бүлийн,Хар,2013,2023,Бензин,Хар,Лизинггүй,Урдаа FWD,195000,Дугаар авсан,5
Kia,Optima/K5,16500000,2.0,Механик,Зөв,Суудлын тэрэг,Цагаан,2011,2017,Газ,Хар,Лизинггүй,Урдаа FWD,100000,Дугаар авсан,4
Toyota,Land Cruiser 200,175000000,4.0,Автомат,Зөв,Жийп,Хар,2019,2020,Бензин,Шаргал,Лизинггүй,Бүх дугуй 4WD,78000,Дугаар авсан,5
Toyota,"Prius 40, 41",31800000,1.8,Автомат,Буруу,Суудлын тэрэг,Саарал,2012,2022,Хайбрид,Хар,Лизинггүй,Урдаа FWD,154000,Дугаар авсан,5
Mercedes-Benz,E-Class,42000000,3.5,Автомат,Зөв,Суудлын тэрэг,Хар,2014,2023,Бензин,Хар,Банкны лизингтэй,Бүх дугуй 4WD,100000,Дугаар аваагүй,4
